stimulus,angle,radius,pair,choice_set,abc_correct,tc_correct,tc_angle,trial_type
t,28,75,1,trinary,ac,both,180,attraction
d,30.25,75,1,trinary,ac,both,180,attraction
c,22,75,1,trinary,ac,both,180,attraction
t,22,75,2,trinary,ac,both,180,attraction
d,19.75,75,2,trinary,ac,both,180,attraction
c,28,75,2,trinary,ac,both,180,attraction
t,25,84,3,trinary,ac,both,180,attraction
d,25,90.75,3,trinary,ac,both,180,attraction
c,25,66,3,trinary,ac,both,180,attraction
t,25,66,4,trinary,ac,both,180,attraction
d,25,59.25,4,trinary,ac,both,180,attraction
c,25,84,4,trinary,ac,both,180,attraction
t,28,75,1,binary,ab,both,180,attraction
c,22,75,1,binary,ab,both,180,attraction
t,22,75,2,binary,ab,both,180,attraction
c,28,75,2,binary,ab,both,180,attraction
t,25,84,3,binary,ab,both,180,attraction
c,25,66,3,binary,ab,both,180,attraction
t,25,66,4,binary,ab,both,180,attraction
c,25,84,4,binary,ab,both,180,attraction
t,28,75,1,trinary,ac,both,90,attraction
d,30.25,75,1,trinary,ac,both,90,attraction
c,25,66,1,trinary,ac,both,90,attraction
t,22,75,2,trinary,ac,both,90,attraction
d,19.75,75,2,trinary,ac,both,90,attraction
c,25,84,2,trinary,ac,both,90,attraction
t,25,66,3,trinary,ac,both,90,attraction
d,25,59.25,3,trinary,ac,both,90,attraction
c,28,75,3,trinary,ac,both,90,attraction
t,25,84,4,trinary,ac,both,90,attraction
d,25,90.75,4,trinary,ac,both,90,attraction
c,22,75,4,trinary,ac,both,90,attraction
t,28,75,1,binary,ab,both,90,attraction
c,25,66,1,binary,ab,both,90,attraction
t,22,75,2,binary,ab,both,90,attraction
c,25,84,2,binary,ab,both,90,attraction
t,25,66,3,binary,ab,both,90,attraction
c,28,75,3,binary,ab,both,90,attraction
t,25,84,4,binary,ab,both,90,attraction
c,22,75,4,binary,ab,both,90,attraction
